HUC8,UNCLASSIFIED,OPEN_WATER,PERENNIAL_SNOW_I,DEVELOPED__OPEN_,DEVELOPED__LOW_I,DEVELOPED__MEDIU,DEVELOPED__HIGH_,BARREN_LAND,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,HAY_PASTURE,CULTIVATED_CROPS,WOODY_WETLANDS,EMERGENT_HERBACE,TOTAL,AREA_INSIDE_US,UNCLASSIFIED_NLCD06,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,Location
10200201,0.00,33680700.00,0.00,83131200.00,24220800.00,6339600.00,2682900.00,438300.00,63527400.00,31500.00,180900.00,559800.00,386454600.00,4745700.00,1587966300.00,27260100.00,1669500.00,2222889300.00,2222889300.00,0.00,5.24,2.87,71.65,1.52,0.00,3.74,1.09,0.29,0.12,0.02,2.86,0.00,0.01,0.03,17.39,0.21,71.44,1.23,0.08,Within USA
10200202,0.00,90189900.00,0.00,49635900.00,27428400.00,6817500.00,1872000.00,5014800.00,62559000.00,1152900.00,123300.00,20700.00,143057700.00,26851500.00,894388500.00,46460700.00,4110300.00,1359683100.00,1359683100.00,0.00,6.31,4.69,67.75,6.63,0.00,3.65,2.02,0.50,0.14,0.37,4.60,0.08,0.01,0.00,10.52,1.97,65.78,3.42,0.30,Within USA
10200203,0.00,44979300.00,0.00,189157500.00,135533700.00,57185100.00,24516000.00,515700.00,165111300.00,582300.00,1565100.00,1488600.00,1005334200.00,123489900.00,2493900900.00,20863800.00,2190600.00,4266414000.00,4266414000.00,0.00,9.53,3.92,61.35,1.05,0.00,4.43,3.18,1.34,0.57,0.01,3.87,0.01,0.04,0.03,23.56,2.89,58.45,0.49,0.05,Within USA
10210001,0.00,53636400.00,0.00,23208300.00,8802000.00,1120500.00,146700.00,2383200.00,1121400.00,3735900.00,7195500.00,774900.00,5072027400.00,9162900.00,13367700.00,9824400.00,208104300.00,5414611500.00,5414611500.00,0.00,0.61,0.22,0.42,0.99,0.00,0.43,0.16,0.02,0.00,0.04,0.02,0.07,0.13,0.01,93.67,0.17,0.25,0.18,3.84,Within USA
10210002,0.00,17094600.00,0.00,8144100.00,890100.00,18000.00,0.00,4594500.00,1302300.00,8334000.00,25812000.00,338400.00,4481056800.00,15018300.00,20464200.00,7547400.00,105201000.00,4695815700.00,4695815700.00,0.00,0.19,0.75,0.76,0.36,0.00,0.17,0.02,0.00,0.00,0.10,0.03,0.18,0.55,0.01,95.43,0.32,0.44,0.16,2.24,Within USA
10210003,0.00,49689900.00,0.00,126687600.00,23798700.00,3121200.00,765000.00,2624400.00,40606200.00,1432800.00,13277700.00,235800.00,3277125900.00,28930500.00,936142200.00,60179400.00,63576900.00,4628194200.00,4628194200.00,0.00,3.34,1.20,20.85,1.07,0.00,2.74,0.51,0.07,0.02,0.06,0.88,0.03,0.29,0.01,70.81,0.63,20.23,1.30,1.37,Within USA
10210004,0.00,10485900.00,0.00,109334700.00,14256900.00,922500.00,341100.00,1638900.00,21952800.00,2463300.00,13842900.00,181800.00,2885412600.00,27423000.00,892852200.00,46298700.00,66888000.00,4094295300.00,4094295300.00,0.00,3.05,0.93,22.48,0.26,0.00,2.67,0.35,0.02,0.01,0.04,0.54,0.06,0.34,0.00,70.47,0.67,21.81,1.13,1.63,Within USA
10210005,0.00,953100.00,0.00,68373000.00,20529000.00,3702600.00,1012500.00,616500.00,22202100.00,196200.00,1950300.00,90900.00,1240317900.00,18306900.00,526154400.00,8136900.00,6009300.00,1918551600.00,1918551600.00,0.00,4.88,1.27,28.38,0.05,0.00,3.56,1.07,0.19,0.05,0.03,1.16,0.01,0.10,0.00,64.65,0.95,27.42,0.42,0.31,Within USA
10210006,0.00,56449800.00,0.00,27734400.00,2279700.00,91800.00,0.00,2457900.00,4707900.00,942300.00,2393100.00,342900.00,5619863700.00,9595800.00,58826700.00,28776600.00,270427500.00,6084890100.00,6084890100.00,0.00,0.49,0.13,1.12,0.93,0.00,0.46,0.04,0.00,0.00,0.04,0.08,0.02,0.04,0.01,92.36,0.16,0.97,0.47,4.44,Within USA
10210007,0.00,25470900.00,0.00,83080800.00,15740100.00,2075400.00,586800.00,1278900.00,68870700.00,7958700.00,4299300.00,551700.00,1645624800.00,27393300.00,604334700.00,28084500.00,17373600.00,2532724200.00,2532724200.00,0.00,4.01,3.20,24.94,1.01,0.00,3.28,0.62,0.08,0.02,0.05,2.72,0.31,0.17,0.02,64.97,1.08,23.86,1.11,0.69,Within USA
